"var1","var2","cor","p_value","FDR"
"PWY.6182..superpathway.of.salicylate.degradation","PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate",0.932448979591837,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate",0.943551888840643,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.967601809954751,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.",0.947894051237516,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate",0.947894051237516,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","PWY.6182..superpathway.of.salicylate.degradation",0.881567520625271,0,0
"PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.","PWY.5367..petroselinate.biosynthesis",0.98369670075246,0,0
"PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.","PWY.5367..petroselinate.biosynthesis",0.948742684417004,0,0
"PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.","PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.",0.841501061161489,0,0
"PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.","PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.",0.986011962184063,0,0
"PWY.6305..superpathway.of.putrescine.biosynthesis","ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis",0.794888655648149,0,0
"PWY.6305..superpathway.of.putrescine.biosynthesis","ORNDEG.PWY..superpathway.of.ornithine.degradation",0.853883357041252,0,0
"PWY.6305..superpathway.of.putrescine.biosynthesis","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I",0.848607089113418,0,0
"PWY.6353..purine.nucleotides.degradation.II..aerobic.","PWY.5497..purine.nucleobases.degradation.II..anaerobic.",0.917737556561086,0,0
"PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation","GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation",0.829579375848033,0,0
"PWY.6519..8.amino.7.oxononanoate.biosynthesis.I","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I",0.970813047711782,0,0
"PWY.6519..8.amino.7.oxononanoate.biosynthesis.I","NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.",0.905915287244401,0,0
"PWY.6519..8.amino.7.oxononanoate.biosynthesis.I","PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I",0.79923186344239,0,0
"PWY.6519..8.amino.7.oxononanoate.biosynthesis.I","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I",0.786876281613124,0,0
"PWY.6519..8.amino.7.oxononanoate.biosynthesis.I","PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis",0.805796308954204,0,0
"PWY.6607..guanosine.nucleotides.degradation.I","PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.",0.983800904977376,0,0
"PWY.6803..phosphatidylcholine.acyl.editing","GLUCARDEG.PWY..D.glucarate.degradation.I",0.787766714082504,0,0
"PWY.6803..phosphatidylcholine.acyl.editing","NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.",0.80375533428165,0,0
"PWY.6803..phosphatidylcholine.acyl.editing","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.78452347083926,0,0
"PWY.6803..phosphatidylcholine.acyl.editing","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.799174964438122,0,0
"PWY.6803..phosphatidylcholine.acyl.editing","PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I",0.786429587482219,0,0
"PWY.6803..phosphatidylcholine.acyl.editing","PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis",0.786429587482219,0,0
"PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.779357484620642,0,0
"PWY.6922..L.N.delta..acetylornithine.biosynthesis","PWY.4984..urea.cycle",0.914570910033705,0,0
"PWY.7013...S..propane.1.2.diol.degradation","GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol",0.889688940092166,0,0
"PWY.7013...S..propane.1.2.diol.degradation","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.879374294468634,0,0
"PWY.7013...S..propane.1.2.diol.degradation","PWY.6185..4.methylcatechol.degradation..ortho.cleavage.",0.880048019207683,0,0
"PWY.7094..fatty.acid.salvage","PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation.",0.813460672712072,0,0
"PWY.7118..chitin.deacetylation","AST.PWY..L.arginine.degradation.II..AST.pathway.",0.803882433356118,0,0
"PWY.7118..chitin.deacetylation","GLUCARDEG.PWY..D.glucarate.degradation.I",0.820943267259057,0,0
"PWY.7118..chitin.deacetylation","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.889487354750513,0,0
"PWY.7118..chitin.deacetylation","NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.",0.77933014354067,0,0
"PWY.7118..chitin.deacetylation","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.872071086807929,0,0
"PWY.7118..chitin.deacetylation","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I",0.781818181818182,0,0
"PWY.7118..chitin.deacetylation","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.832508544087491,0,0
"PWY.7118..chitin.deacetylation","PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation",0.854453905960755,0,0
"PWY.7118..chitin.deacetylation","PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I",0.812467532467532,0,0
"PWY.7185..UTP.and.CTP.dephosphorylation.I","PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III",0.890428321678322,0,0
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",0.910317530570695,0,0
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.897537948907812,0,0
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.",0.906684894053315,0,0
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","PPGPPMET.PWY..ppGpp.metabolism",0.791929589397944,0,0
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis",0.935967190704033,0,0
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.",0.836830803406146,0,0
"PWY.7200..superpathway.of.pyrimidine.deoxyribonucleoside.salvage","Staphylococcus_epidermidis.t__SGB7865",0.875291677469536,0,0
"PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP","PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III",0.910402097902098,0,0
"PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP","PWY.7185..UTP.and.CTP.dephosphorylation.I",0.982161385585442,0,0
"PWY.7242..D.fructuronate.degradation","GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation",0.938795532825384,0,0
"PWY.7242..D.fructuronate.degradation","PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation",0.79699659142067,0,0
"PWY.7254..TCA.cycle.VII..acetate.producers.","P23.PWY..reductive.TCA.cycle.I",0.983163265306122,0,0
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",0.784295874822191,0,0
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.904657534246575,0,0
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.",0.803556187766714,0,0
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","PPGPPMET.PWY..ppGpp.metabolism",0.801695146958305,0,0
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis",0.820777489818586,0,0
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.",0.859431009957326,0,0
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II",0.881308677098151,0,0
"PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis","COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis",0.92343658679135,0,0
"PWY.7340..9.cis..11.trans.octadecadienoyl.CoA.degradation..isomerase.dependent..yeast.","Enterococcus_faecalis.t__SGB7962",0.891554494138081,0,0
"PWY.7391..isoprene.biosynthesis.II..engineered.","PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.",0.961380724538619,0,0
"PWY.7396..butanol.and.isobutanol.biosynthesis..engineered.","PWY.3801..sucrose.degradation.II..sucrose.synthase.",0.910077519379845,0,0
"PWY.7883..anhydromuropeptides.recycling.II","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.",0.792727272727273,0,0
"PWY.7942..5.oxo.L.proline.metabolism","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.821162532395409,0,0
"PWY.8004..Entner.Doudoroff.pathway.I","GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway",0.880549829916919,0,0
"PWY.8011..L.serine.biosynthesis.II","Staphylococcus_epidermidis.t__SGB7865",0.895102040816326,0,0
"PWY.8073..lipid.IVA.biosynthesis..P..putida.","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I",0.904406037000974,0,0
"PWY.8073..lipid.IVA.biosynthesis..P..putida.","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.810061517429938,0,0
"PWY.8073..lipid.IVA.biosynthesis..P..putida.","HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.",0.795472249269718,0,0
"PWY.8073..lipid.IVA.biosynthesis..P..putida.","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.807473222979552,0,0
