"var1","var2","cor","p_value","FDR"
"PWY0.42..2.methylcitrate.cycle.I","GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation",0.922466422466423,7.90234544467694e-12,2.2767676883591e-09
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",0.832104367555303,8.57669490983426e-12,2.45128801878991e-09
"PWY0.42..2.methylcitrate.cycle.I","PWY.7242..D.fructuronate.degradation",0.921245421245421,9.54258894125815e-12,2.70570263901102e-09
"PWY0.301..L.ascorbate.degradation.I..bacterial..anaerobic.","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.824826336454243,1.04245501120204e-11,2.9324998212759e-09
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","PWY.6803..phosphatidylcholine.acyl.editing",0.824675324675325,1.05941921901831e-11,2.95693836083188e-09
"PWY0.301..L.ascorbate.degradation.I..bacterial..anaerobic.","PWY.5723..Rubisco.shunt",0.824524312896406,1.07664988036049e-11,2.98173593998131e-09
"PWY0.42..2.methylcitrate.cycle.I","Escherichia_coli.t__SGB10068",0.957142857142857,1.11848308392837e-11,3.07376358895576e-09
"PWY66.391..fatty.acid..beta..oxidation.VI..mammalian.peroxisome.","Enterococcus_faecalis.t__SGB7962",0.932307692307692,1.2170264795941e-11,3.31904488625792e-09
"PWY.7013...S..propane.1.2.diol.degradation","PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.",0.900333704115684,1.2590817277669e-11,3.38210178993986e-09
"PWY.7013...S..propane.1.2.diol.degradation","PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate",0.900333704115684,1.2590817277669e-11,3.38210178993986e-09
"ORNDEG.PWY..superpathway.of.ornithine.degradation","ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis",0.822108124433706,1.39066536064547e-11,3.70767990107613e-09
"PWY.5415..catechol.degradation.I..meta.cleavage.pathway.","Enterococcus_faecalis.t__SGB7962",0.905418719211823,1.49760204237737e-11,3.96320967155361e-09
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","LIPASYN.PWY..phospholipases",0.867226890756303,1.59707802538378e-11,4.19538305403389e-09
"FUCCAT.PWY..fucose.degradation","COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I",0.820144971307762,1.70727876280807e-11,4.44838451098816e-09
"PWY.7013...S..propane.1.2.diol.degradation","PWY.6185..4.methylcatechol.degradation..ortho.cleavage.",0.885263929618768,1.71829217521235e-11,4.44838451098816e-09
"PWY.7094..fatty.acid.salvage","PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation.",0.8252977878616,1.77626802155828e-11,4.56539218260368e-09
"PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.","PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.",0.813953488372093,1.84261494950988e-11,4.70209012044214e-09
"PWY.822..fructan.biosynthesis","Streptococcus_salivarius.t__SGB8007_group",0.954545454545455,1.93631777278824e-11,4.90616232273991e-09
"PWY.7118..chitin.deacetylation","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",0.824163357912649,1.99933403166597e-11,5.03015546586608e-09
"PWY.7013...S..propane.1.2.diol.degradation","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.88233137829912,2.45865550141389e-11,6.14251233870717e-09
"PWY.6803..phosphatidylcholine.acyl.editing","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I",0.816369676834793,2.51558773811666e-11,6.24110330083028e-09
"PWY.7340..9.cis..11.trans.octadecadienoyl.CoA.degradation..isomerase.dependent..yeast.","Enterococcus_faecalis.t__SGB7962",0.926923076923077,2.85707013603087e-11,7.03942673654061e-09
"PWY.7013...S..propane.1.2.diol.degradation","PWY.6182..superpathway.of.salicylate.degradation",0.893659621802002,2.99040792128835e-11,7.31748721890052e-09
"PWY.5845..superpathway.of.menaquinol.9.biosynthesis","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.808819087888855,5.32194288638266e-11,1.27605188965709e-08
"PWY.5850..superpathway.of.menaquinol.6.biosynthesis","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.808819087888855,5.32194288638266e-11,1.27605188965709e-08
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.808819087888855,5.32194288638266e-11,1.27605188965709e-08
"PWY.7118..chitin.deacetylation","PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I",0.808668076109937,5.40048006314464e-11,1.28138329762925e-08
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",0.81427761121465,5.41591216318693e-11,1.28138329762925e-08
"SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II","PWY.5497..purine.nucleobases.degradation.II..anaerobic.",0.894088669950739,6.4387162268531e-11,1.51335247316154e-08
"ECASYN.PWY..enterobacterial.common.antigen.biosynthesis","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",0.812170812738028,6.64668320382589e-11,1.55202224928029e-08
"CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate","AST.PWY..L.arginine.degradation.II..AST.pathway.",0.866978609625668,6.82245371308454e-11,1.56992967246208e-08
"GLUDEG.I.PWY..GABA.shunt","ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation",0.907203907203907,6.86453116571784e-11,1.56992967246208e-08
"ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation","GLUDEG.I.PWY..GABA.shunt",0.907203907203907,6.86453116571784e-11,1.56992967246208e-08
