name,carac,coef,term_col,deg
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,pathway,-0.655510988459546,term,144
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,pathway,0.30880362803606,preterm,90
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,pathway,0.0999766452700849,preterm,88
PWY.6292..superpathway.of.L.cysteine.biosynthesis..mammalian.,pathway,-0.1262330812291,term,72
PWY.6293..superpathway.of.L.cysteine.biosynthesis..fungi.,pathway,-0.928402181348983,term,7
PWY.6305..superpathway.of.putrescine.biosynthesis,pathway,-0.601274830913028,term,153
PWY.6317..D.galactose.degradation.I..Leloir.pathway.,pathway,0.0134773993005235,preterm,39
PWY.6318..L.phenylalanine.degradation.IV..mammalian..via.side.chain.,pathway,-0.178627435171926,term,46
PWY.6353..purine.nucleotides.degradation.II..aerobic.,pathway,5.07045870352665,preterm,64
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.,pathway,0.367982967506927,preterm,125
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.,pathway,0.514867924558478,preterm,139
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.,pathway,0.421270301143433,preterm,135
PWY.6396..superpathway.of.2.3.butanediol.biosynthesis,pathway,-0.356218717894862,term,2
PWY.6435..4.hydroxybenzoate.biosynthesis.III..plants.,pathway,15.0138339330723,preterm,2
PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation,pathway,2.1008908405422,preterm,96
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,pathway,-0.823296287457784,term,150
PWY.6527..stachyose.degradation,pathway,-0.0324060726853046,term,34
PWY.6531..mannitol.cycle,pathway,0.471204262256897,preterm,95
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III,pathway,-1.94139805612617,term,37
PWY.6549..L.glutamine.biosynthesis.III,pathway,0.178894729838114,preterm,40
PWY.6588..pyruvate.fermentation.to.acetone,pathway,5.17730405098864,preterm,20
PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation,pathway,-10.9707744425055,term,6
PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.,pathway,2.97453478570958,preterm,14
PWY.6606..guanosine.nucleotides.degradation.II,pathway,1.45162861642388,preterm,53
PWY.6607..guanosine.nucleotides.degradation.I,pathway,3.4803429747712,preterm,16
PWY.6608..guanosine.nucleotides.degradation.III,pathway,-1.13950543035857,term,133
PWY.6609..adenine.and.adenosine.salvage.III,pathway,0.0531330469940096,preterm,43
PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis,pathway,1.92968389464763,preterm,62
PWY.6628..superpathway.of.L.phenylalanine.biosynthesis,pathway,-0.331037619958029,term,32
PWY.6629..superpathway.of.L.tryptophan.biosynthesis,pathway,0.015021560096544,preterm,125
PWY.6630..superpathway.of.L.tyrosine.biosynthesis,pathway,-0.118364410448897,term,79
PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.hydroxypentadienoate,pathway,-0.333645721198272,term,119
PWY.6700..queuosine.biosynthesis.I..de.novo.,pathway,0.172714683843721,preterm,42
PWY.6703..preQ0.biosynthesis,pathway,-0.433458160809914,term,50
PWY.6708..ubiquinol.8.biosynthesis..early.decarboxylation.,pathway,3.21620765853299,preterm,15
PWY.6731..starch.degradation.III,pathway,-2.28176242988922,term,75
PWY.6803..phosphatidylcholine.acyl.editing,pathway,-0.827565217988784,term,159
PWY.6823..molybdopterin.biosynthesis,pathway,-0.42253015673199,term,56
PWY.6859..all.trans.farnesol.biosynthesis,pathway,0.929756206865824,preterm,32
PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I,pathway,-0.876814319528344,term,112
PWY.6895..superpathway.of.thiamine.diphosphate.biosynthesis.II,pathway,-0.807340459100059,term,130
PWY.6897..thiamine.diphosphate.salvage.II,pathway,-0.406730811672667,term,110
PWY.6901..superpathway.of.glucose.and.xylose.degradation,pathway,-0.334694579103837,term,86
PWY.6902..chitin.degradation.II..Vibrio.,pathway,-1.69220620994568,term,29
PWY.6922..L.N.delta..acetylornithine.biosynthesis,pathway,-3.6293642619963,term,49
PWY.6936..seleno.amino.acid.biosynthesis..plants.,pathway,-0.119792787338734,term,31
PWY.6961..L.ascorbate.degradation.II..bacterial..aerobic.,pathway,-0.901778993103149,term,102
PWY.6969..TCA.cycle.V..2.oxoglutarate.synthase.,pathway,-1.53827620751194,term,164
PWY.6992..1.5.anhydrofructose.degradation,pathway,-5.0476316456888,term,66
PWY.7013...S..propane.1.2.diol.degradation,pathway,-1.90656248613783,term,96
PWY.702..L.methionine.biosynthesis.II,pathway,0.102902132582679,preterm,47
PWY.7039..phosphatidate.metabolism..as.a.signaling.molecule,pathway,-5.29435357968694,term,63
PWY.7094..fatty.acid.salvage,pathway,-1.02130615385746,term,53
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,pathway,0.185901079164534,preterm,69
PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type,pathway,-0.965935653988691,term,95
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type,pathway,-0.631320155933139,term,99
PWY.7118..chitin.deacetylation,pathway,-0.7430244710399,term,170
PWY.7165..L.ascorbate.biosynthesis.VIII..engineered.pathway.,pathway,-3.4617059404999,term,44
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I,pathway,-0.77329187664501,term,111
PWY.7185..UTP.and.CTP.dephosphorylation.I,pathway,-2.08672895294952,term,14
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II,pathway,-1.10048895550528,term,129
PWY.7196..superpathway.of.pyrimidine.ribonucleosides.salvage,pathway,1.48510263368612,preterm,20
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation,pathway,-0.225078050171715,term,48
PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV,pathway,0.126889998544489,preterm,115
PWY.7199..pyrimidine.deoxyribonucleosides.salvage,pathway,0.0952969594758672,preterm,38
PWY.7200..superpathway.of.pyrimidine.deoxyribonucleoside.salvage,pathway,3.78927460182151,preterm,87
PWY.7204..pyridoxal.5..phosphate.salvage.II..plants.,pathway,-2.74556360303922,term,94
PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage,pathway,-0.169240121014589,term,41
PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation,pathway,-1.8085214010853,term,5
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP,pathway,-1.58574255843942,term,25
